"uni","bi"
48,48
48,48
48,48
48,48
47,47
48,47
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,47
48,48
48,48
48,48
48,48
48,48
48,48
47,48
48,48
48,48
47,48
48,48
48,48
48,48
48,48
47,48
48,48
48,48
48,48
48,48
48,47
48,48
48,48
48,47
48,48
48,47
48,49
48,48
48,47
47,48
47,49
48,48
47,48
48,48
48,48
48,48
48,53
48,48
48,48
48,47
48,48
47,47
48,48
47,47
48,48
47,48
48,48
47,48
47,48
48,48
48,48
48,48
47,47
48,48
48,48
48,47
48,48
48,48
48,52
48,47
48,48
48,48
48,47
48,48
48,48
48,47
48,48
48,48
48,48
48,48
48,49
48,48
47,48
47,48
48,49
48,47
48,48
48,49
48,48
47,48
48,48
47,48
47,48
48,48
48,48
48,48
48,48
47,48
47,49
48,49
48,47
48,47
48,47
48,48
47,47
48,48
48,48
47,47
48,49
48,48
48,48
48,48
48,48
48,48
47,48
48,48
48,48
48,48
48,47
48,48
47,48
47,48
48,48
48,48
48,48
48,48
47,48
48,49
48,48
48,49
47,47
48,49
48,48
48,48
48,48
48,48
48,48
48,47
48,48
48,47
48,47
48,47
47,48
47,48
48,47
47,48
48,47
48,47
48,47
47,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,47
48,48
48,47
48,47
47,48
48,49
48,48
48,48
48,48
48,48
48,47
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
47,48
48,48
48,48
47,48
48,50
48,48
48,48
48,48
47,48
48,47
48,48
47,48
47,48
48,48
47,48
47,48
48,48
47,48
48,48
48,49
48,48
48,47
48,48
48,48
48,48
47,48
48,47
48,48
48,48
48,51
48,47
48,47
47,48
48,48
48,47
47,49
48,48
47,48
48,47
48,48
48,52
47,48
47,48
47,48
48,48
47,48
47,48
48,47
47,48
47,47
48,48
48,48
48,48
48,48
48,48
47,48
48,47
48,48
48,48
48,48
48,52
47,47
48,48
47,49
48,47
48,47
48,48
48,48
48,48
48,48
48,48
48,48
48,50
48,48
47,48
48,48
48,57
47,48
48,47
48,48
47,47
47,47
47,48
48,48
48,48
48,47
48,48
48,47
47,48
48,48
48,47
47,48
48,47
47,47
47,48
48,47
48,48
48,48
48,48
48,48
48,48
47,48
48,48
48,47
48,48
48,48
48,47
47,48
47,47
48,48
47,48
47,48
47,48
47,48
48,48
48,48
47,48
48,48
48,48
48,48
48,47
48,48
48,48
48,48
47,48
47,48
47,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,47
48,48
47,49
47,48
48,47
47,48
48,47
48,47
48,48
48,48
48,47
48,48
48,48
48,48
47,48
47,48
48,48
48,47
48,48
47,48
48,48
47,48
48,48
48,47
48,48
48,65
47,48
48,48
48,48
48,48
48,54
48,48
47,48
48,48
48,47
48,47
48,48
48,59
47,48
48,47
48,48
48,48
47,47
47,48
48,48
48,49
48,48
48,48
48,48
47,48
48,48
48,48
48,48
47,48
48,48
47,48
47,48
48,49
47,48
48,48
47,48
48,47
47,48
48,48
48,47
48,48
48,47
48,49
48,48
47,47
48,49
48,48
48,48
48,48
48,48
47,49
48,47
48,48
48,48
48,49
48,48
47,48
48,48
47,48
48,49
48,55
48,48
48,48
47,48
48,47
48,47
48,48
48,47
48,48
48,48
47,48
48,48
48,47
48,48
47,48
48,48
47,48
48,48
48,48
48,48
47,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,48
48,47
48,48
47,48
48,48
48,47
48,48
48,48
48,47
48,63
48,48
48,48
48,48
48,49
47,48
48,48
48,47
48,48
47,48
48,48
47,48
48,47
48,49
47,48
48,48
48,48
48,49
48,48
48,48
47,48
48,47
48,48
48,48
47,48
48,47
48,48
48,47
49,48
48,48
48,48
48,48
47,49
48,48
48,48
48,47
48,47
48,48
48,48
48,47
48,48
48,47
48,48
48,48
48,48
48,48
48,48
48,48
48,47
47,48
48,47
48,51
48,48
47,48
48,48
48,48
48,48
47,48
48,49
48,48
48,48
47,48
48,48
48,48
48,48
48,48
49,48
47,47
48,48
48,48
48,48
48,48
48,51
47,48
47,48
48,48
48,48
48,48
47,47
48,48
48,48
48,48
48,48
48,47
47,47
48,48
48,48
47,47
49,47
48,48
48,48
47,48
48,56
48,48
47,48
48,48
48,47
48,48
48,48
48,48
48,48
48,48
48,48
48,47
48,47
48,48
47,49
47,48
48,48
48,47
48,48
48,48
48,48
47,48
48,48
48,48
47,91
47,48
48,48
47,48
47,48
47,48
48,47
49,49
47,48
48,47
48,48
48,48
48,48
47,48
47,48
48,47
48,53
49,48
48,48
47,47
47,48
47,48
48,48
48,48
48,48
48,47
48,48
48,48
47,47
48,48
47,48
48,48
48,49
48,48
48,47
48,48
48,47
48,47
48,48
48,48
47,48
